0,"test","test","test","test","test","test"
1,"서울시","강남구","개포동","LG개포자이아파트","11680103","A13593901"
2,"서울시","강남구","개포동","SH공사대치1단지","11680103","A13593908"
3,"서울시","강남구","개포동","개포2차 현대아파트","11680103","A13524006"
4,"서울시","강남구","개포동","개포경남아파트","11680103","A13580602"
5,"서울시","강남구","개포동","개포대치2단지","11680103","A13524009"
6,"서울시","강남구","개포동","개포우성3차","11680103","A13524004"
7,"서울시","강남구","개포동","개포우성8차","11680103","A13580002"
8,"서울시","강남구","개포동","개포주공2단지","11680103","A13580204"
9,"서울시","강남구","개포동","개포주공3단지","11680103","A13580103"
10,"서울시","강남구","개포동","개포주공5단지","11680103","A13599402"
11,"서울시","강남구","개포동","개포주공6단지","11680103","A13599303"
12,"서울시","강남구","개포동","개포주공7단지","11680103","A13599301"
13,"서울시","강남구","개포동","개포현대1차","11680103","A13524005"
14,"서울시","강남구","개포동","개포현대3차","11680103","A13580001"
15,"서울시","강남구","개포동","대청","11680103","A13594007"
16,"서울시","강남구","개포동","디에이치 아너힐즈","11680103","A10025203"
17,"서울시","강남구","개포동","래미안블레스티지","11680103","A10025675"
18,"서울시","강남구","논현동","논현동부센트레빌","11680108","A13583301"
19,"서울시","강남구","논현동","논현동현","11680108","A13582002"
20,"서울시","강남구","논현동","논현신동아","11680108","A13501004"
21,"서울시","강남구","논현동","동양파라곤","11680108","A13501001"
22,"서울시","강남구","논현동","동화히스토리","11680108","A13572601"
23,"서울시","강남구","논현동","마일스디오빌","11680108","A13501002"
24,"서울시","강남구","논현동","아크로힐스논현","11680108","A13501006"
25,"서울시","강남구","대치동","개포1차2차우성","11680106","A13528105"
26,"서울시","강남구","대치동","대치SK VIEW","11680106","A10026924"
27,"서울시","강남구","대치동","대치국제","11680106","A13528101"
28,"서울시","강남구","대치동","대치대우아이빌4차","11680106","A13528001"
29,"서울시","강남구","대치동","대치동부센트레빌","11680106","A13528103"
30,"서울시","강남구","대치동","대치미도맨션","11680106","A13528004"
31,"서울시","강남구","대치동","대치삼성","11680106","A13528003"
32,"서울시","강남구","대치동","대치선경","11680106","A13583604"
33,"서울시","강남구","대치동","대치쌍용2차","11680106","A13583402"
34,"서울시","강남구","대치동","대치아이파크","11680106","A13528102"
35,"서울시","강남구","대치동","대치우성1차아파트","11680106","A13583403"
36,"서울시","강남구","대치동","대치포스코더샵","11680106","A13584101"
37,"서울시","강남구","대치동","대치현대","11680106","A13583701"
38,"서울시","강남구","대치동","래미안 대치 팰리스","11680106","A10027800"
39,"서울시","강남구","대치동","래미안대치하이스턴","11680106","A13528007"
40,"서울시","강남구","대치동","쌍용대치1차","11680106","A13583404"
41,"서울시","강남구","대치동","은마","11680106","A13583507"
42,"서울시","강남구","대치동","테헤란로대우아이빌","11680106","A13528005"
43,"서울시","강남구","도곡동","SK양재허브프리모","11680118","A13527018"
44,"서울시","강남구","도곡동","개포4차우성","11680118","A13527013"
45,"서울시","강남구","도곡동","개포우성5차","11680118","A13585401"
46,"서울시","강남구","도곡동","도곡1차아이파크","11680118","A13527007"
47,"서울시","강남구","도곡동","도곡개포한신아파트","11680118","A13527016"
48,"서울시","강남구","도곡동","도곡경남","11680118","A13527008"
49,"서울시","강남구","도곡동","도곡대림","11680118","A13586101"
50,"서울시","강남구","도곡동","도곡대림아크로빌","11680118","A13527014"
51,"서울시","강남구","도곡동","도곡동양재디오빌","11680118","A13527001"
52,"서울시","강남구","도곡동","도곡렉슬","11680118","A13527203"
53,"서울시","강남구","도곡동","도곡삼성","11680118","A13527004"
54,"서울시","강남구","도곡동","도곡삼성래미안","11680118","A13550502"
55,"서울시","강남구","도곡동","도곡쌍용예가","11680118","A13527019"
56,"서울시","강남구","도곡동","도곡한신","11680118","A13550403"
57,"서울시","강남구","도곡동","도곡현대","11680118","A13586102"
58,"서울시","강남구","도곡동","도곡현대그린","11680118","A13527002"
59,"서울시","강남구","도곡동","래미안도곡카운티","11680118","A13585404"
